source,target
Indonesia,Beras
Indonesia,Kopi
indonesia,Jagung
Indonesia,Cengkeh
Indonesia,Kakao
Indonesia,Karet
Indonesia,Kedelai
Indonesia,Sawit
Indonesia,Kentang
Indonesia,Ubi jalar
Malaysia,Sawit
Malaysia,Karet
Malaysia,Beras
Malaysia,Lada
Malaysia,Kopi
Malaysia,The
Malaysia,Kakao
Malaysia,Kelapa
Thailand,Beras
Thailand,Jagung
Thailand,Karet
Thailad,Kelapa
Thailad,Tembakau
Thailand,Tebu
Filipina,Tebu
Filipina,Beras
Filipina,Kelapa
Filipina,Pisang
Filipina,Jagung
Filipina,Kopi
Filipina,Nanas
Brunei Darussalam,Karet
Brunei Darussalam,Kelapa
Vietnam,Beras
Vietnam,Jagung
Vietnam,Ubi Jalar
Vietnam,Singkong
Laos,Beras
Laos,Jagung
Laos,Tembakau
Laos,Kapas
Laos,Kopi
Laos,Jeruk
Myanmar,Beras
Myanmar,Jagung
Timor Leste,Vanilli
Timor Leste,Kelapa
Timor Leste,Kopi
Timor Leste,Cengkeh
Timor Leste,Porang
